"=====Result of the physicochemical property for each protein======"

"Pro_id","Hydrophobicity","MW","Half_life","pI"
"id1","-0.5221","1093.201","4.4","5.87"
"id2","0.2111","1073.334","4.4","6.79"
"id3","-0.4777","1129.252","4.4","3.99"
"id4","1.0667","1052.235","4.4","3.79"
"id5","0.3333","992.143","4.4","8.79"
"id6","-0.911","1095.226","4.4","12"
"id7","-0.1666","1020.106","4.4","5.56"
"id8","-0.2555","1121.255","4.4","5.87"
"id9","-0.1666","1026.172","1.1","5.83"
"id10","-0.7332","1139.381","1.1","12"
"id11","0.4556","991.198","30","6.74"
"id12","0.1111","1063.262","3.5","5.39"
"id13","-0.4332","1029.164","3.5","8.75"
"id14","0.3667","1137.344","20","5.83"
"id15","0.2778","1012.145","20","5.52"
"id16","-1.6999","1139.276","1.3","6.75"
"id17","-0.5999","1082.273","5.5","10.83"
"id18","-0.0332","1032.257","5.5","12"
"id19","0.0556","1022.169","5.5","8.74"
"id20","-1.511","1210.463","1","10.83"
"id21","-2.211","1210.342","7.2","4.49"
"id22","-1.3221","963.018","1.4","12"
"id23","1.6333","919.088","1.4","5.52"
"id24","-1.2888","1109.268","1.4","12"
"id25","-0.6332","1045.114","0.8","3.66"
"id26","-0.5221","1013.118","1","8.58"
"id27","0.8111","1011.229","1","6"
"id28","-2.2443","1191.361","1","12"
"id29","-2.5332","1259.495","1","11.53"
"id30","-1.2999","1120.279","1","11.71"
"id31","-1.2332","1092.266","1","11"
"id32","-1.0221","1005.099","1","12"
"id33","-1.2332","1174.427","1","10.83"
"id34","-1.4443","1197.493","1","11.72"
"id35","-1.2999","1060.132","1.9","5.55"
"id36","1.4778","990.207","1.9","5.23"
"id37","-0.4443","1011.099","1.9","5.71"
"id38","0.0778","966.061","1.9","9.46"
"id39","-2.6332","1152.235","1.9","10.73"
"id40","-1.4332","1120.335","1.9","12"
"id41","-0.211","996.088","7.2","9.41"
"id42","-0.7999","1077.202","7.2","8.1"
"id43","0.9222","1047.306","100","6.71"
"id44","1.0444","1002.222","100","8.72"
"id45","-1.6666","1095.18","100","8.71"
"id46","-0.7888","1069.136","2.8","4.37"
"id47","-0.4777","1075.183","2.8","5.83"
"id48","-1.8888","1177.331","2.8","11.71"
"id49","-0.7999","1077.202","2.8","8.43"
"id50","0.6667","992.143","1.9","9.46"
