"=====Result of the physicochemical property for each protein======"

"Pro_id","Hydrophobicity","MW","Half_life","pI"
"1","-0.6932","1722.872","4.4","6.11"
"2","-0.6932","1722.872","4.4","6.11"
"3","-0.6932","1722.872","4.4","6.11"
"4","0.7467","1649.95","4.4","5.88"
"5","0.72","1679.977","4.4","5.88"
"6","0.98","1622.897","4.4","3.99"
"7","0.8067","1640.93","4.4","3.99"
"8","0.5867","1554.781","4.4","8.26"
"9","0.5867","1554.781","4.4","8.26"
"10","0.5867","1554.781","4.4","8.26"
"11","-0.6999","1700.912","4.4","8.79"
"12","-0.1866","1650.855","4.4","10.83"
"13","-0.1866","1650.855","4.4","10.83"
"14","-0.1866","1650.855","4.4","10.83"
"15","-1.0066","1853.175","4.4","12.3"
"16","-1.0066","1853.175","4.4","12.3"
"17","0.6133","1540.754","4.4","8.26"
"18","0.6133","1540.754","4.4","8.26"
"19","0.6133","1540.754","4.4","8.26"
"20","0.62","1510.725","4.4","5.88"
"21","-0.1999","1725.915","4.4","5.87"
"22","-0.8999","1814.969","4.4","6.11"
"23","-0.8999","1814.969","4.4","6.11"
"24","-0.8999","1814.969","4.4","6.11"
"25","-0.3199","1640.834","1.2","9.5"
"26","-0.3199","1640.834","1.2","9.5"
"27","-0.3199","1640.834","1.2","9.5"
"28","-0.5732","1736.009","1.1","11.69"
"29","0.2267","1673.901","1.1","5.83"
"30","0.2267","1673.901","1.1","5.83"
"31","0.0533","1691.934","1.1","5.83"
"32","0.0533","1691.934","1.1","5.83"
"33","0.2267","1647.889","1","4.39"
"34","-0.0732","1770.015","1","4.83"
"35","-1.9199","1882.115","1","10.93"
"36","-1.6199","1929.271","1","9.97"
"37","-1.4599","1957.325","1","9.97"
"38","-1.5866","1827.117","1","9.69"
"39","-1.4266","1855.171","1","9.69"
"40","0.1533","1735.997","1","4.37"
"41","0.7467","1604.82","1.1","3.66"
"42","1.0733","1602.848","1.1","3.66"
"43","0.4","1671.929","1.1","6"
"44","0.4","1671.929","1.1","6"
"45","0.2267","1689.962","1.1","6"
"46","0.2267","1689.962","1.1","6"
"47","-0.8066","1868.184","1.1","10.83"
"48","-0.8066","1868.184","1.1","10.83"
"49","0.8","1610.891","1.1","8.22"
"50","-0.3399","1758.059","1.1","11.71"
"51","-0.3666","1788.085","1.1","11.71"
"52","0.8267","1614.88","1.1","8.22"
"53","-1.3999","1932.231","1.1","10.73"
"54","-0.0999","1617.794","30","5.83"
"55","0.26","1632.964","30","6.75"
"56","-0.7466","1736.95","30","9.69"
"57","0.6467","1665.95","30","4.65"
"58","0.24","1618.937","30","6.75"
"59","-1.6732","1813.006","30","10.26"
"60","-0.8932","1833.033","3.5","8.38"
"61","-0.8932","1833.033","3.5","8.38"
"62","0.7667","1618.847","20","4.08"
"63","1.0933","1616.875","20","4.08"
"64","0.2867","1567.777","20","5.83"
"65","0.3267","1735.059","20","8.74"
"66","0.3","1765.085","20","8.74"
"67","0.8067","1638.896","20","3.99"
"68","0.6333","1656.929","20","3.99"
"69","-0.7332","1782.97","20","8.37"
"70","-0.7332","1782.97","20","8.37"
"71","-0.5732","1771.027","20","12.3"
"72","0.0533","1705.027","20","5.61"
"73","0.4667","1637.911","1.3","6"
"74","0.2933","1655.945","1.3","6"
"75","-0.1532","1704.984","1.3","4.96"
"76","0.0533","1760.11","1.3","6.75"
"77","0.0533","1760.11","1.3","6.75"
"78","-1.6799","1858.044","1.3","9.69"
"79","0.1667","1639.89","5.5","9.5"
"80","0.1667","1639.89","5.5","9.5"
"81","0.1667","1639.89","5.5","9.5"
"82","0.1667","1639.89","5.5","9.5"
"83","-0.4066","1686.934","5.5","9.98"
"84","-0.0666","1636.917","5.5","10.83"
"85","-1.0799","1758.007","5.5","9.99"
"86","-0.1199","1726.953","5.5","10.83"
"87","-0.1199","1726.953","5.5","10.83"
"88","-0.1199","1726.953","5.5","10.83"
"89","0.6667","1690.015","5.5","5.83"
"90","0.64","1720.041","5.5","5.83"
"91","0.2667","1733.041","5.5","5.39"
"92","0.2667","1733.041","5.5","5.39"
"93","0.9267","1638.945","5.5","8.22"
"94","0.9533","1642.933","5.5","8.22"
"95","-1.0799","1758.007","5.5","9.99"
"96","-0.3999","1670.845","5.5","10.83"
"97","-1.5799","1887.231","1","9.69"
"98","-1.4199","1915.285","1","9.69"
"99","-0.6266","1821.171","1","8.51"
"100","0.7667","1603.835","1.4","3.79"
"101","1.0933","1601.863","1.4","3.79"
"102","-1.2066","1858.148","1.4","10.83"
"103","0.6667","1690.015","20","6.26"
"104","0.64","1720.041","20","6.26"
"105","0.56","1550.793","20","8.63"
"106","0.56","1550.793","20","8.63"
"107","0.56","1550.793","20","8.63"
"108","-0.3999","1754.071","20","11.71"
"109","-0.4266","1784.097","20","11.71"
"110","-1.2732","1900.232","20","11.71"
"111","-1.2732","1900.232","20","11.71"
"112","-0.7666","1815.061","20","9.43"
"113","-0.7666","1815.061","20","9.43"
"114","-0.5199","1707.854","20","4.74"
"115","-0.5199","1707.854","20","4.74"
"116","-0.0732","1783.057","0.8","5.39"
"117","-0.7799","1782.97","1","8.37"
"118","-1.3599","1911.212","1","11.71"
"119","-1.3599","1911.212","1","11.71"
"120","-1.9199","1882.115","1","10.93"
"121","-1.6199","1915.244","1","9.97"
"122","-1.4599","1943.298","1","9.97"
"123","0.1867","1660.89","1","5.83"
"124","0.5133","1658.918","1","5.83"
"125","-0.9799","1808.073","1","9.99"
"126","-0.9799","1808.073","1","9.99"
